ID;BOT_ID;ALIAS;LANGUAGE;GUILD;GUILD_LEVEL;Level;FACTION;AM_Aulari;DM_Aulari;TM_Aulari;P_Aulari;AM_Carpa;DM_Carpa;TM_Carpa;P_Carpa;AM_Civica;DM_Civica;TM_Civica;P_Civica;AM_Comunicacio;DM_Comunicacio;TM_Comunicacio;P_Comunicacio;AM_EB_Sud;DM_EB_Sud;TM_EB_Sud;P_EB_Sud;AM_EB_Nord;DM_EB_Nord;TM_EB_Nord;P_EB_Nord;AM_EB_Central;DM_EB_Central;TM_EB_Central;P_EB_Central;AM_Educacio;DM_Educacio;TM_Educacio;P_Educacio;AM_ETSE;DM_ETSE;TM_ETSE;P_ETSE;AM_FTI;DM_FTI;TM_FTI;P_FTI;AM_Med;DM_Med;TM_Med;P_Med;AM_SAF;DM_SAF;TM_SAF;P_SAF;AM_Torres;DM_Torres;TM_Torres;P_Torres;AM_Vet;DM_Vet;TM_Vet;P_Vet;AM_EC;DM_EC;TM_EC;P_EC;WAKE;AM_BOT;DM_BOT;TM_BOT;P_BOT;AM_EM;WOKE
0;132;test;ca;Patatas;Newbie;Mod;Neutral;C1; ;0;0;COM2; ;0;0;VET1; ;0;0;BNORD1; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ;VET1;1;10; ;C2, C1, C4;3;20.0;NO; ; ;0;0;;
1;57232690;Evil Reckmana;ca;Patatas;Newbie;Mod;Neutral; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0.0;NO; ; ;0;0;;
2;1972795833;Mirna;ca;Worst Generation;Founder;Mod;Anomalis; ; ;0;300; ;OCULT1;1;0;ANOMA3; ;0;0; ;COM1;1;10; ; ;0;0; ;BNORD25;1;10; ;BCEN23;1;10; ; ;0;0; ;ETSE2, ETSE25, ETSE26;3;30;FTI26; ;0;0; ;MED3, MED2, MED1;3;30; ;SAF2;1;10; ; ;0;0;VET40; ;0;0;C40;C8, C5;2;20.0;NO; ; ;0;0;C40;
3;981802604;Shaggy;ca;Mochete;Newbie;Mod;Corruptus;C1; VET1, VET2, FTI1, FTI2, FTI3, COM1, COM2, MED1, MED2, MED3, ETSE1, ETSE2, ETSE3;0;600; ;19W2B2fg;1;0; ;MISFI4, MISFI1, MISFI2;3;0; ;COM23, COM24;2;20;BSUD24; ;0;0; ;BNORD2, BNORD26;2;20;BCEN24; ;0;0; ; ;0;0;ETSE38; ;2;20; ;FTI40;1;30;MED26; ;0;0;SAF24; ;0;0; ; ;0;0;VET24; ;0;0;C213;C1;1;10.0;NO;2023063257;19W2B2fg, 6RtQ87cdJ3;2;2;;
4;932020044;Kamisa Reckmana;ca;Patatas;Patata;Mod;Anomalis; ; ;0;0; ; ;0;0; ;MISFI4;1;0;COM24; ;0;0; ; ;0;0; ;BNORD25;1;10; ;BCEN1;1;10; ; ;0;0; ;ETSE1;1;10; ;FTI3, FTI1, FTI3;3;30; ;MED1;1;10;SAF24;SAF2;1;10; ; ;0;0; ;VET1, VET2, VET24;3;30; ;C211, C29;2;20.0;NO; ; ;0;0;;
5;1930136278;no_alias;ca; ;unguilded;Player;Anomalis; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0.0;NO; ; ;0;0;;
6;159982658;DrMontpeyo;ca;AcademiaHumans;Mariscal de Camp;Player;Anomalis; ; ;0;0; ;OCULT1;1;0; ;ANOMA1, ANOMA2, ANOMA3, MISFI1, MISFI2, MISFI3, MISFI4, MISFI5, LORE40;9;-10; ;COM1, COM2, COM23, COM24, COM36, COM35, COM40;7;80; ;BSUD1, BSUD2, BSUD24, BSUD23, BSUD35, BSUD36;6;60; ;BNORD3, BNORD2, BNORD1, BNORD25, BNORD24, BNORD26, BNORD39, BNORD38, BNORD37;9;90; ;BCEN2, BCEN1, BCEN23, BCEN24, BCEN35, BCEN36, BCEN40;7;130; ; ;0;0; ;ETSE1, ETSE2, ETSE3, ETSE26, ETSE24, ETSE25, ETSE38, ETSE37, ETSE39, ETSE40;10;120; ;FTI1, FTI2, FTI3, FTI24, FTI25, FTI26, FTI37, FTI39, FTI38, FTI40;10;120; ;MED2, MED3, MED1, MED25, MED26, MED24, MED37, MED39, MED38, MED40;10;120; ;SAF1, SAF2, SAF24, SAF23, SAF36, SAF35, SAF40;7;80; ; ;0;0; ;VET1, VET2, VET23, VET24, VET36, VET35, VET40;7;80; ;C5, C6, C8, C4, C7, C211, C210, C212, C29, C213, C316, C317, C318, C314, C315, C40;16;200.0;YES; ;19W2B2fg, 6RtQ87cdJ3, 94RpTa6Y2m34, P59sDDf2T1QyCCv36, TQP95HHFD374FEW3N477;5;5;;
7;750747669;René Grajeé;ca;Worst Generation;Newbie;Mod;Corruptus; ; ;0;208; ; ;0;0; ;HALAL1, CORRU1, HALAL1, CORRU2;4;0; ;COM1;1;10; ;BSUD2;1;10; ;BNORD2, BNORD3, BNORD1;3;30;BCEN40; ;0;0; ; ;0;0; ;ETSE26, ETSE26, ETSE26;3;30; ; ;0;0; ;MED3, MED2, MED1;3;30;SAF24;SAF2, SAF1;2;20; ; ;0;0;VET40;VET1, VET2, VET23;3;30;C40;C4, C6, C8, C7, C5;5;50.0;NO; ;19W2B2fg, 6RtQ87cdJ3;2;2;C40;
8;2020646986;no_alias;ca; ;unguilded;Player;Neutral; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0.0;NO; ; ;0;0;;
9;2022190663;no_alias;ca; ;unguilded;Player;Neutral; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0.0;NO; ; ;0;0;;
