MISSION_ID;AM_BUILDING;MISSION_P1;MISSION_P2;MISSION_P3;RESULT_POOL;HINT;POINTS;NPC;FINAL_TEXT;REQUIREMENTS;
C1;AM_EC;Com es diu el centre de recerca instal·lat en aquesta planta;;;ICTA;Esta a l'entrada;10;None;None;None;None
C2;AM_EC;De quin color és la dutxa que tens a la dreta?;;;Groc, Groga;Dude.. really? En català;10;None;None;None;None
C3;AM_EC;Quian funció té l’aparell gris metàl·lic gran d’aquest passadís?;;;Refrigerar, Arrefredar;És una paraula d'un sol verb;10;None;None;None;None
C4;AM_EC;He guanyat un premi nobel gràcies a la radioactivitat del 84;;;Marie Curie;1=H, Mira davant teu;10;Marie Curie;None;None;None
C5;AM_EC;"Una de les meves frases més celebres és: ""Ne pleure pas, Alfred ! J'ai besoin de tout mon courage pour mourir à vingt ans ! (No ploris Alfred! Em cal tot el meu coratge per a morir a vint anys)""";;;Evariste Galois;Google it;10;Evariste Galois;None;None;None
C6;AM_EC;Acabo de demostrar que tota acció té una reacció.;;;Sir Isaac Newton, Isaac Newton;The apple is a lie;10;Isaac Newton;None;None;None
C7;AM_EC;He escrit l’equació que relaciona l’energia d’un cos amb la seva massa i velocitat;;;Albert Einstein;E=mc^2;10;Albert Einstein;None;None;None
C8;AM_EC;He estat la primera persona del món en fotografiar informació cel·lular i em recorda subtilment a un helicòpter. Tot i això, encara no he rebut cap reconeixement… Estic decepcionada.;;;Rosalind Franklin;Estructura en forma d’hèlix de l’ADN;10;Rosalind Franklin;None;None;None
C29;AM_EC;Marie Curie: Quin és el grup dels Osetes Polares?;;;Calcògens, calcògens, grup de l'oxigen, Grup de l'oxigen, Calcógenos, calcógenos;OSSeTe;10;Marie Curie;None;None;None
C212;AM_EC;Isaac Newton: Existeix cert instrument de vidre capaç de descomposar la llum en 7 colors. En la portada d'un àlbum d'un cert grup de música, apareix aquest aparell. Com es diu aquest àlbum?;;;The dark side of the moon;Pink Floyd;10;Isaac Newton;None;None;None
C213;AM_EC;Evariste Galois: Enigma matemàtic! Resol i indica quina ubicació et marca! -- ((531*3)+598+641)/(23+45-9))º , ((10^2)/2)’ , 17’’ N || (1930 / 965)º , 19’ , (3*5+2*11)’’ E;;;Cementiri de Montparnasse;Coordenades geogràfiques;10;Evariste Galois;None;None;None
C210;AM_EC;Albert Einstein: Quina és la teoria que causa la paradoxa dels bessons?;;;Relativitat especial, La relativitat especial, relativitat especial, la relativitat especial;La vaig formular jo;10;Albert Einstein;None;None;None
C211;AM_EC;Rosalind Franklin: A qui se li ha atribuït durant molt temps la definició de l’estructura de doble hèlix de l’ADN?;;;Watson i Crick, Crick i Watson;Sóc Rosalind Franklin. Són els dos cognoms;10;Rosalind Franklin;None;None;None
C314;AM_EC;Desxifra el missatge: 84, 20 // 87, 92, 73 // 102 // 99 // 5, 92, 63 (- u), 102  // 102 // 99 // 16, 92, 9, 53, 6, 53, 63 (-u), 7, 52;;;PoCa FrUTa No Es BUENo No Es SUFICIENTe;84 = Po;10;Marie Curie;None;None;None
C316;AM_EC;La llegenda diu que em va caure una poma al cap. Sabent que la poma tenia una massa de 0,230 kg i que l’acceleració de la Terra (també anomenada gravetat) és de 9,8 m/s2, amb quina força em va impactar la poma?;;;2 N, 2.2 N, 2,25 N, 2.254 N, io k c loqo no zoi 100tifiko;F = m*a i recorda que la força es mesura en Newtons (N), i que el decimal està marcat amb un punt;10;Isaac Newton;None;None;None
C317;AM_EC;Estic a punt de batre’m en duel. M’he passat tota la nit escrivint i m’he oblidat del nom del meu rival. Com es deia? Ajuda!;;;Pescheux d'Herbinville;Va ser acusat per Alexander Dumas i és una conjectura, però és el nom que busquem.;10;Evariste Galois;None;None;None
C315;AM_EC;A part de la fotografia de l’ADN, vaig fer recerca en altres àmbits de la biologia. Concretament, vaig estudiar cert virus. Saps quin és? Saps quina malaltia causa?;;;virus de la poliomielitis (polio), Virus de la poliomielitis (Polio), Virus de la poliomielitis (polio), virus de la poliomielitis (Polio), poliovirus (polio), Poliovirus (Polio), poliovirus (Polio), Poliovirus (polio), Virus de la poliomielitis (poliomielitis), virus de la poliomileitis (Poliomielitis), Virus de la poliomielitis (Poliomielitis), virus de la poliomielitis (poliomielitis), poliovirus (poliomielitis), Poliovirus (poliomielitis), poliovirus (Poliomielitis), poliovirus (Poliomielitis);Com respondre? Benvinguts a un curs accelerat de “Com es respon aquesta pregunta correctament?” La resposta és… Nomvirus (nommalaltia)!;10;Rosalind Franklin;None;None;None
C318;AM_EC;La relativitat especial ens indica que la velocitat de la llum és finita. Em pots dir el valor exacte d’aquesta? (en m/s);;;299792458;Magnitud sense decimals;10;Albert Einstein;None;None;None
;;;;;;;;;None;;None
BNORD1;AM_EB_Nord;Reconeixes aquest fragment d’una obra de teatre? L’he escrit jo! “Te lo ruego buen Mercucio, vámonos. Hace calor, los Capuletos han salido y, si los encontramos, tendremos pelea, pues este calor inflama la sangre.”. Qui sóc?;;;William Shakespeare;Autor anglès, 23 d’abril;10;William Shakespeare;None;None;None
BNORD2;AM_EB_Nord;Em considero molt bona escriptora i n’estic molt ORGULLOSA, sobretot de comèdies, però publico en anònim per por als PREJUDICIS. Qui sóc?;;;Jane Austen;Un llibre sempre comença amb majúscula;10;Jane Austen;None;None;None
BNORD3;AM_EB_Nord;Pren nota siusplau. La negació del tot és l'afirmació del no res. Qui sóc?;;;Sòcrates, Socrates;El meu deixeble és bon escriptor;10;Sòcrates;None;None;None
BNORD24;AM_EB_Nord;William Shakespeare: En un futur, una obra de teatre meva serà la base per crear una pel·lícula produïda una malvada multinacional que ho acabarà dominant tot. Quin és el títol d'aquesta?;;;El Rey León, el rey león, El Rei Lleó, El rei lleó, el rei lleó, El rey león;Kimba;10;William Shakespeare;None;None;None
