MISSION_ID;AM_BUILDING;MISSION_P1;MISSION_P2;MISSION_P3;RESULT_POOL;HINT;POINTS;NPC;FINAL_TEXT;REQUIREMENTS;
C1;AM_EC;Com es diu el centre de recerca instal·lat en aquesta planta;;;ICTA;Esta a l'entrada;10;None;None;None;None
C2;AM_EC;De quin color és la dutxa que tens a la dreta?;;;Groc, Groga;Dude.. really? En català;10;None;None;None;None
C3;AM_EC;Quian funció té l’aparell gris metàl·lic gran d’aquest passadís?;;;Refrigerar, Arrefredar;És una paraula d'un sol verb;10;None;None;None;None
C4;AM_EC;He guanyat un premi nobel gràcies a la radioactivitat del 84;;;Marie Curie;1=H, Mira davant teu;10;Marie Curie;None;None;None
C5;AM_EC;"Una de les meves frases més celebres és: ""Ne pleure pas, Alfred ! J'ai besoin de tout mon courage pour mourir à vingt ans ! (No ploris Alfred! Em cal tot el meu coratge per a morir a vint anys)""";;;Evariste Galois;Google it;10;Evariste Galois;None;None;None
C6;AM_EC;Acabo de demostrar que tota acció té una reacció.;;;Sir Isaac Newton, Isaac Newton;The apple is a lie;10;Isaac Newton;None;None;None
C7;AM_EC;He escrit l’equació que relaciona l’energia d’un cos amb la seva massa i velocitat;;;Albert Einstein;E=mc^2;10;Albert Einstein;None;None;None
C8;AM_EC;He estat la primera persona del món en fotografiar informació cel·lular i em recorda subtilment a un helicòpter. Tot i això, encara no he rebut cap reconeixement… Estic decepcionada.;;;Rosalind Franklin;Estructura en forma d’hèlix de l’ADN;10;Rosalind Franklin;None;None;None
C29;AM_EC;Marie Curie: Quin és el grup dels Osetes Polares?;;;Calcògens, calcògens, grup de l'oxigen, Grup de l'oxigen, Calcógenos, calcógenos;OSSeTe;10;Marie Curie;None;None;None
C212;AM_EC;Isaac Newton: Existeix cert instrument de vidre capaç de descomposar la llum en 7 colors. En la portada d'un àlbum d'un cert grup de música, apareix aquest aparell. Com es diu aquest àlbum?;;;The dark side of the moon;Pink Floyd;10;Isaac Newton;None;None;None
C213;AM_EC;Evariste Galois: Enigma matemàtic! Resol i indica quina ubicació et marca! -- ((531*3)+598+641)/(23+45-9))º , ((10^2)/2)’ , 17’’ N || (1930 / 965)º , 19’ , (3*5+2*11)’’ E;;;Cementiri de Montparnasse;Coordenades geogràfiques;10;Evariste Galois;None;None;None
C210;AM_EC;Albert Einstein: Quina és la teoria que causa la paradoxa dels bessons?;;;Relativitat especial, La relativitat especial, relativitat especial, la relativitat especial;La vaig formular jo;10;Albert Einstein;None;None;None
C211;AM_EC;Rosalind Franklin: A qui se li ha atribuït durant molt temps la definició de l’estructura de doble hèlix de l’ADN?;;;Watson i Crick, Crick i Watson;Sóc Rosalind Franklin. Són els dos cognoms;10;Rosalind Franklin;None;None;None
;;;;;;;;;None;;None
BNORD1;AM_EB_Nord;Reconeixes aquest fragment d’una obra de teatre? L’he escrit jo! “Te lo ruego buen Mercucio, vámonos. Hace calor, los Capuletos han salido y, si los encontramos, tendremos pelea, pues este calor inflama la sangre.”. Qui sóc?;;;William Shakespeare;Autor anglès, 23 d’abril;10;William Shakespeare;None;None;None
BNORD2;AM_EB_Nord;Em considero molt bona escriptora i n’estic molt ORGULLOSA, sobretot de comèdies, però publico en anònim per por als PREJUDICIS. Qui sóc?;;;Jane Austen;Un llibre sempre comença amb majúscula;10;Jane Austen;None;None;None
BNORD3;AM_EB_Nord;Pren nota siusplau. La negació del tot és l'afirmació del no res. Qui sóc?;;;Sòcrates, Socrates;El meu deixeble és bon escriptor;10;Sòcrates;None;None;None
BNORD24;AM_EB_Nord;William Shakespeare: En un futur, una obra de teatre meva serà la base per crear una pel·lícula produïda una malvada multinacional que ho acabarà dominant tot. Quin és el títol d'aquesta?;;;El Rey León, el rey león, El Rei Lleó, El rei lleó, el rei lleó, El rey león;Kimba;10;William Shakespeare;None;None;None
BNORD25;AM_EB_Nord;Jane Austen: Sabries dir-me quina és la definició que es correspon a comèdia i quina és correspon a sàtira? Sembla que els moderadors no ho saben i necessiten ajuda:  1. Composició poètica que posa al descobert i colpeix, amb l'escarni o amb la burla ridiculitzadora, passions, maneres de viure i comportaments comuns a tota la humanitat, o característics d'una categoria de persones, o d'un sol individu, que contrasten o estan en discordança amb la moral comuna o amb l'ideal ètic de l'escriptor. 2. Gènere dramàtic fonamental de la preceptiva clàssica, caracteritzat pel desenllaç feliç i per la intenció, generalment crítica, moralitzadora o satírica. ;;;1. Sàtira 2. Comèdia, 1) Sàtira 2) Comèdia, 1: Sàtira 2: Comèdia, 1- Sàtira 2- Comèdia, 1. sàtira 2. comèdia;El format de resposta és 1. X 2. Y;10;Jane Austen;None;None;None
BNORD26;AM_EB_Nord;Sòcrates: He tingut molts deixebles al llarg de la meva vida. Plató, que és un dels molts que va acudir a mi, va tenir un cop una curiosa experiència amb un altre filòsof, que va acabar amb una gallina desplomada dins la seva acadèmia. Amb qui va ser?;;;Diògenes;Síndrome que et fa guardar moltes coses inútils a la teva habitació i no et permet llençar-ne cap;10;Sòcrates;None;None;None
;;;;;;;;;;;
COM1;AM_Comunicacio;He llegit un llibre per la ràdio i sóc tan bo que la gent pensa que de veritat ens estan envaint els alienígenes. Qui sóc?;;;Orson Welles;És el director de ciutadà Kane;10;Orson Welles;None;None;None
COM2;AM_Comunicacio;Tot i que el meu nom de pila és Norma Jeane Baker, pràcticament ningú em coneix com a tal;;;Marilyn Monroe;Sóc la estrella principal de la pel·lícula Niagara (1953);10;Marilyn Monroe;None;None;None
COM23;AM_Comunicacio;Orson Welles: D’aquestes històries, quines són veritat?  1. Era mag  2. Tinc un fetitxe amb els peus. 3. Em vaig fer un tatuatge en una natja que no es pot revelar.  4. Vaig contractar ambulàncies pq em portessin per NY.  5. Vaig fondre el meu oscar per a fer-me unes sabates d’or. 6. He posat veu a un personatge a The Transformers. ;;;1 4 6, 4 1 6, 6 1 4, 6 4 1, 4 6 1, 1 6 4;Format de la resposta: 1 2 3 4 5 6 (sense comes) ;10;Orson Welles;None;None;None
COM24;AM_Comunicacio;Marilyn Monroe: He descobert que podeu viatjar en el temps. Tinc la certesa que moriré aviat, em podrieu dir qui el serà el culpable?;;;Norman Hodges, Norman Hogdes;Viquipèdia (cat);10;Marilyn Monroe;None;None;None
;;;;;;;;;;;
VET1;AM_Vet;Enfronto cada dia a caçadors furtius per protegir els goril·les de muntanya de l’extinció.;;;Dian Fossey;A 1983 publico “Goril·les en la boira”;10;Diane Fossey;None;None;None
